Date,Sec1,Sec2,Sec3,Sec4,Sec5,Sec6,Sec7,Sec8,Sec9,Sec10
5/3/2021,0.007,0.01,0.013,-0.008,0.031,0.007,0.002,-0.018,0.013,0.006
5/4/2021,0.027,0.001,0.009,0.027,0.028,0.024,0.017,0.033,0.017,0.02
5/5/2021,0.006,0.021,0.011,0.005,0.007,0.01,0.008,0.013,-0.011,0.008
5/6/2021,0.004,0.006,0.01,0.005,0.012,0.002,0.005,0.012,0.019,0.008
5/7/2021,-0.001,-0.007,0.01,0.014,0.009,0.008,0.01,0.019,0.005,0.007
5/10/2021,0.008,-0.007,0,0.008,0.002,0.001,0.003,0.01,0.003,0.003
5/11/2021,0,-0.006,0.003,0.004,-0.001,-0.009,-0.002,0,0.002,-0.001
5/12/2021,-0.01,0.013,0.002,0,0.003,0.002,0.005,-0.006,-0.014,-0.001
5/13/2021,0.003,0.002,0.002,0.009,0.006,0.005,-0.001,0.003,0.012,0.005
5/14/2021,0.002,0.01,0.001,0.002,-0.004,-0.004,-0.002,-0.009,-0.007,-0.001
5/17/2021,-0.009,-0.003,-0.003,0,-0.009,-0.003,0.004,0.001,0.008,-0.001
5/18/2021,0.013,-0.004,-0.005,0.008,0.008,0.019,0.009,0.018,0.014,0.009
5/19/2021,-0.002,0.008,0.004,0.002,-0.006,-0.001,0.009,0.004,-0.001,0.002
5/20/2021,0.004,0.006,0.009,0.007,0.013,0.017,0.004,0.015,0.022,0.011
5/21/2021,-0.002,0.004,-0.003,-0.005,-0.003,-0.005,0.005,-0.005,0.007,-0.001
5/24/2021,-0.004,0,0.003,-0.005,0.004,-0.002,-0.005,0.002,-0.009,-0.002
5/25/2021,-0.003,-0.006,-0.001,-0.01,0.001,-0.008,-0.004,-0.018,-0.008,-0.006
5/26/2021,-0.002,-0.022,-0.014,0.003,-0.002,0.002,-0.013,0.011,0.015,-0.002
5/27/2021,0.009,0.001,0.002,0.006,0.003,0.001,0.007,0.003,-0.007,0.003
5/28/2021,0.014,0.004,-0.001,0.003,0.008,0.011,0.003,0,0.012,0.006
5/31/2021,0.012,-0.003,0.006,0.009,0.008,0.001,0.005,0.016,0.001,0.006
6/1/2021,-0.003,0.014,0.009,0.002,-0.001,-0.001,0.005,0.003,-0.016,0.001
6/2/2021,0.008,0.007,0.012,0.009,0.005,0.006,0.009,0.008,0.004,0.007
6/3/2021,0.003,0,-0.004,0.001,-0.005,-0.004,-0.007,-0.002,0.001,-0.002
6/4/2021,-0.005,0.001,0.001,0.001,-0.012,-0.008,-0.007,-0.008,0.001,-0.004
6/7/2021,0.002,0.001,-0.006,0.001,-0.01,-0.002,0.001,0.004,0.001,-0.001
6/8/2021,-0.004,0.002,0.006,0.004,-0.002,-0.002,0.003,0.008,0.013,0.003
6/9/2021,0.006,0,0.003,0.002,0.004,0.007,0,0.004,0.002,0.003
6/10/2021,0.007,-0.007,0.003,0.011,0.01,0.018,-0.011,0.007,0.004,0.005
6/11/2021,-0.006,0.004,0.002,0.003,0.001,-0.004,0.002,0.003,-0.009,0
6/14/2021,-0.002,-0.006,0,-0.001,0.002,0.006,-0.005,-0.009,-0.011,-0.003
6/15/2021,-0.009,0.004,-0.001,-0.01,-0.009,-0.021,0,-0.003,-0.011,-0.007
6/16/2021,0.008,0.009,0.007,-0.001,0.004,0.002,0.006,0.007,0,0.005
6/17/2021,-0.004,-0.015,-0.006,-0.007,0.002,0.005,-0.01,-0.004,0.005,-0.004
6/18/2021,0.002,-0.002,-0.006,0.001,-0.003,0.001,-0.002,0.012,0.005,0.001
6/21/2021,0.01,-0.006,0.007,0.007,0.021,0.013,0.006,0.006,0.003,0.007
6/22/2021,0.01,0.001,-0.007,0.005,-0.001,0.004,0.001,0.008,0.004,0.003
6/23/2021,-0.007,-0.003,0.001,-0.006,-0.007,-0.002,-0.005,-0.004,-0.011,-0.005
6/24/2021,0.011,0.004,0.011,0.005,0.001,-0.002,0.004,0.002,-0.005,0.003
6/25/2021,-0.008,0.005,0.002,-0.005,-0.003,-0.002,0.004,-0.001,-0.004,-0.001
6/28/2021,-0.003,-0.008,0.003,-0.007,0.007,0.004,-0.004,-0.006,0.011,0
6/29/2021,-0.005,-0.005,-0.02,-0.011,-0.015,-0.011,-0.01,-0.015,-0.003,-0.011
6/30/2021,-0.023,0.01,-0.004,-0.014,-0.006,-0.019,0.001,-0.005,-0.023,-0.009
7/1/2021,0,0,0,-0.008,-0.012,-0.006,-0.002,-0.016,-0.014,-0.007
7/2/2021,-0.033,-0.014,-0.026,-0.027,-0.019,-0.028,-0.024,-0.042,-0.03,-0.027
7/5/2021,0.016,0.012,0.009,0.015,0.001,0.015,0.013,0.017,-0.001,0.011
7/6/2021,-0.013,0.002,0.012,0.004,0.014,-0.001,0,0.006,-0.008,0.002
7/7/2021,0.019,0.01,0.013,0.019,0.019,0.017,0.013,0.025,0.029,0.018
7/8/2021,-0.003,0.001,-0.006,-0.009,-0.008,-0.008,0.001,-0.011,-0.011,-0.006
7/9/2021,-0.019,-0.002,-0.007,-0.015,-0.016,-0.014,-0.01,-0.013,-0.012,-0.012
7/12/2021,0.012,0.001,0.011,0.016,0.011,0.012,0.013,0.025,0.009,0.012
7/13/2021,-0.037,-0.008,-0.016,-0.031,-0.032,-0.031,-0.028,-0.031,-0.039,-0.028
7/14/2021,0.005,0.013,0.015,-0.002,0,-0.001,0.003,-0.002,-0.006,0.003
7/15/2021,0.018,0.005,0.011,0.011,0.018,0.019,0.012,0.019,0.013,0.014
7/16/2021,0.01,0.006,0.01,0.013,0.008,0.009,0.01,0.015,0.022,0.011
7/19/2021,-0.013,-0.002,-0.011,0,-0.012,-0.006,-0.009,-0.005,-0.008,-0.007
7/20/2021,0.005,0.007,0.003,0.019,0.005,0.006,0.007,0.012,0.006,0.008
7/21/2021,0.007,0.001,0.005,0,-0.007,0.001,-0.005,-0.002,-0.004,0
7/22/2021,-0.025,-0.011,-0.017,-0.027,-0.024,-0.027,-0.023,-0.033,-0.034,-0.024
7/23/2021,0.01,0.012,0.012,0.01,0.003,0.007,0.01,0.014,0.004,0.009
7/26/2021,-0.006,0.002,-0.003,-0.005,0.001,-0.005,-0.006,-0.002,-0.006,-0.003
7/27/2021,0.009,-0.003,0.01,0.012,0.008,0.012,0.007,0.001,0.014,0.008
7/28/2021,0.015,0.007,0,0.015,0.013,0.017,0.008,0.017,0.015,0.012
7/29/2021,0.003,0,-0.001,-0.006,0.007,0.004,0.001,0,0,0.001
7/30/2021,-0.01,0.018,0.006,-0.004,-0.008,-0.014,-0.006,-0.012,-0.005,-0.004
8/2/2021,0.01,0.001,0.009,0.01,0.012,0.013,0.001,0.017,0.014,0.01
8/3/2021,0.02,-0.011,-0.006,0.019,0.002,0.018,0.01,0.021,0.012,0.009
8/4/2021,0,-0.004,0.003,0.002,0.004,0.002,0.003,-0.001,0.005,0.002
8/5/2021,0.015,-0.005,-0.002,0.004,-0.005,0.003,-0.009,-0.007,0.02,0.001
8/6/2021,0.004,0.001,-0.006,-0.004,0.01,0.009,0.003,-0.005,0.012,0.003
8/9/2021,0.006,0.01,0.004,0.002,0.01,0.009,0.01,0.01,0.001,0.007
8/10/2021,0.005,0.002,0.004,0.005,0.008,0.001,0,0.005,-0.006,0.003
8/11/2021,0.008,-0.006,-0.006,-0.002,0.011,0.005,-0.001,-0.007,0.008,0.001
8/12/2021,-0.004,0.001,-0.01,-0.013,-0.016,-0.001,-0.002,-0.002,0.034,-0.002
8/13/2021,0.001,0.009,0.005,0.006,0.008,-0.001,0.002,0.004,-0.014,0.002
8/16/2021,0.004,0.004,0.002,0,0.001,-0.002,0,0,-0.005,0
8/17/2021,-0.005,0.005,0,-0.003,0.002,-0.005,0.005,0.002,-0.003,0
8/18/2021,-0.006,0.004,-0.003,-0.011,-0.002,-0.006,0.006,-0.012,0.001,-0.003
8/19/2021,0.002,0,0.004,0.003,-0.002,-0.002,-0.005,0.003,0,0
8/20/2021,-0.01,0.012,0.004,-0.011,-0.009,-0.006,-0.009,-0.01,-0.016,-0.006
8/23/2021,0.008,-0.001,0.001,0.009,0.005,0.006,-0.005,0.012,0.002,0.004
8/24/2021,-0.005,0.005,0.006,-0.004,-0.002,0.001,-0.006,0.001,-0.013,-0.002
8/25/2021,0.004,-0.004,-0.001,-0.003,-0.003,-0.004,-0.004,-0.013,0,-0.003
8/26/2021,-0.002,0.001,0.005,0.009,0.008,0.001,0.009,0.011,-0.007,0.004
8/27/2021,-0.021,-0.002,-0.003,-0.008,-0.024,-0.024,-0.01,-0.009,-0.023,-0.014
8/30/2021,-0.02,-0.013,-0.02,-0.018,-0.018,-0.019,-0.015,-0.019,-0.025,-0.019
8/31/2021,0.004,0.002,0.007,0.005,0.004,0.007,0.009,0.012,0.011,0.007
9/1/2021,0.019,0.014,0.016,0.009,0.005,0.01,0.016,0.017,0.006,0.012
9/2/2021,-0.005,-0.004,-0.008,-0.004,-0.004,-0.005,-0.003,-0.004,-0.009,-0.005
9/3/2021,-0.02,-0.009,-0.01,-0.011,-0.017,-0.015,-0.019,-0.018,-0.017,-0.015
9/6/2021,0.009,0.005,0.008,0.009,0.011,0.009,0.007,0.015,0.009,0.009
9/7/2021,0.01,-0.001,0.002,0.007,0.009,0.009,0.005,0.007,0.013,0.007
9/8/2021,0.012,-0.004,-0.001,0.011,0.019,0.019,0.008,0.014,0.013,0.01
9/9/2021,0.001,-0.006,-0.005,0,-0.007,-0.002,0,-0.001,-0.001,-0.002
9/10/2021,0.014,-0.003,-0.004,0.009,0.007,0.008,0.018,0.011,0.004,0.007
9/13/2021,-0.002,0.002,0.001,0.004,0.002,-0.001,-0.001,-0.007,-0.014,-0.002
9/14/2021,0.001,0.003,0.005,0.003,0.003,0.005,0.007,-0.002,0.001,0.003
9/15/2021,0.002,0.003,0.002,-0.002,-0.002,-0.009,-0.004,-0.01,-0.005,-0.003
9/16/2021,0.014,0.004,0.003,0.004,-0.003,0.006,-0.001,0.011,0.018,0.006
9/17/2021,-0.003,0.004,0,-0.006,-0.004,0.008,0.002,-0.013,0.013,0
9/20/2021,0.004,0.004,0.005,-0.005,0.006,0,0.006,0.001,0.008,0.003
9/21/2021,-0.001,0.003,0.003,0,0.003,0.001,-0.005,0.015,-0.004,0.002
9/22/2021,0.005,-0.01,-0.006,-0.001,0.011,0.006,0.001,0.012,0.008,0.003
9/23/2021,0.005,-0.014,-0.002,0.003,0.003,0.003,0.01,0.013,-0.006,0.002
9/24/2021,0.002,0.001,0,-0.006,0.006,0.003,0.014,-0.009,0.004,0.002
9/27/2021,-0.001,0.009,0.005,0.006,0.001,0.004,0.006,0.006,-0.02,0.002
9/28/2021,-0.005,0.005,-0.001,-0.005,-0.011,-0.011,-0.001,-0.001,-0.004,-0.004
9/29/2021,0.015,-0.002,0,0.007,0.014,0.022,0.001,0.012,0.023,0.01
9/30/2021,0.009,-0.013,-0.01,0,0.008,0.012,-0.003,0.005,0.033,0.005
10/1/2021,0.004,-0.01,0.003,0.001,0.002,0.002,-0.007,-0.001,0.001,-0.001
10/4/2021,0.005,0.004,0.004,0.001,-0.001,0.001,0.003,0,-0.02,0
10/5/2021,0.007,-0.014,-0.003,-0.006,0.007,0.003,0.002,0.008,0.015,0.002
10/6/2021,0,-0.004,-0.001,0,0.004,0.001,0.007,0.006,-0.004,0.001
10/7/2021,-0.003,-0.006,-0.001,-0.002,-0.001,0,-0.004,0,-0.006,-0.003
10/8/2021,0.001,0.002,0.003,-0.001,0.005,0,0.006,0.003,-0.005,0.002
10/11/2021,-0.006,0.015,0.008,-0.003,-0.006,-0.004,0.001,0.002,-0.004,0
10/12/2021,0.002,0.004,0,0.004,0.006,0.003,0,-0.001,-0.003,0.002
10/13/2021,0.003,0.003,0,0.002,-0.001,0.007,0.021,0.008,0.008,0.006
10/14/2021,0.002,0.002,0.005,0.003,-0.002,-0.004,-0.003,0.003,-0.012,-0.001
10/15/2021,0.002,-0.003,-0.001,-0.011,-0.002,-0.001,0.007,0.002,-0.015,-0.002
10/18/2021,-0.005,0.006,0.002,-0.002,-0.012,-0.008,-0.001,-0.006,0.01,-0.002
10/19/2021,-0.001,-0.003,-0.005,-0.006,-0.002,0,0.003,-0.005,0.016,0
10/20/2021,0.007,0,-0.002,0.007,0.002,0.005,0.004,-0.001,-0.003,0.002
10/21/2021,0.006,-0.003,0.001,0.009,0.007,0.007,0.012,0.015,0.001,0.006
10/22/2021,-0.001,0.003,0.008,0.007,0.005,0.003,-0.001,0.001,-0.009,0.002
10/25/2021,0.004,0.002,0.002,0.009,0.004,-0.001,0.005,0.006,0.003,0.004
10/26/2021,-0.002,-0.001,0,-0.006,-0.004,-0.005,-0.004,-0.003,-0.01,-0.004
10/27/2021,-0.006,-0.007,0.002,-0.008,-0.01,-0.016,-0.004,-0.014,0,-0.007
10/28/2021,-0.014,0.003,-0.002,-0.01,-0.006,-0.011,-0.002,-0.009,-0.015,-0.007
10/29/2021,0.009,0.008,0.007,0.006,0.002,0.004,0.009,0.004,0.015,0.007
11/1/2021,0.005,0.002,0,-0.001,0.005,0,0,0.004,-0.005,0.001
11/2/2021,0.013,-0.003,0.004,0.008,0.01,0.012,0.007,0.011,0.019,0.009
11/3/2021,-0.002,-0.003,0.001,0.001,-0.002,-0.004,-0.007,-0.005,-0.001,-0.003
11/4/2021,0,0,-0.003,-0.002,-0.006,-0.001,0.002,0.001,0.002,-0.001
11/5/2021,-0.002,0.003,0.001,0.003,0.008,0.006,0.001,0.007,-0.002,0.003
11/8/2021,0.02,-0.004,-0.001,0.009,0.014,0.009,0.009,0.011,0.018,0.009
11/9/2021,-0.004,0.008,0.004,0.001,-0.008,-0.003,-0.001,0.007,-0.008,0
11/10/2021,0.004,0.012,0.004,0.004,0.004,0,0.011,0.009,0.013,0.007
11/11/2021,0.004,0.003,-0.002,0.004,0.001,-0.001,-0.001,-0.002,0.001,0.001
11/12/2021,-0.004,0.004,-0.002,0.001,-0.001,-0.004,0.001,0,0.004,0
11/15/2021,0,0,0.005,0.003,0.003,0.003,0.004,0.007,0,0.003
11/16/2021,0.001,0.007,0.008,0.002,0.005,0.005,0.007,0.006,0.01,0.005
11/17/2021,-0.002,-0.009,-0.004,-0.002,0.003,0.008,0.004,0.003,0.01,0.001
11/18/2021,0.002,0.001,0.001,0.002,0.001,-0.004,-0.001,0,0,0
11/19/2021,0.006,0.002,0.001,0.012,0.004,0.002,-0.001,0.007,0,0.004
11/22/2021,-0.003,0.003,0.004,0,-0.004,-0.001,0,0,-0.004,0
11/23/2021,-0.003,0,-0.005,-0.006,-0.003,-0.005,-0.006,-0.006,-0.003,-0.004
11/24/2021,0.003,0.004,0.001,0.001,0.007,-0.001,0.002,0.003,0.006,0.003
11/25/2021,0.01,-0.013,-0.008,0.012,-0.012,0.019,0.003,0.019,0.009,0.004
11/26/2021,-0.011,0.002,-0.002,-0.009,-0.016,-0.002,-0.009,-0.011,-0.003,-0.007
11/29/2021,-0.001,0.001,0.002,0.003,-0.004,0,0.006,0.002,0.008,0.002
11/30/2021,-0.007,-0.001,-0.008,-0.002,-0.001,-0.002,-0.002,0,-0.003,-0.003
12/1/2021,0.007,0,0.004,0.003,0.004,0.003,0.006,0.011,-0.016,0.002
12/2/2021,0.006,0.005,0.007,0.005,0.004,0.004,0.004,0.011,0.007,0.006
12/3/2021,-0.007,0.003,-0.001,-0.005,-0.004,-0.007,0,-0.002,-0.006,-0.003
12/6/2021,0.007,0.006,0.007,0.003,0.013,0.008,-0.004,0.013,0,0.006
12/7/2021,-0.002,0.003,0,0,-0.004,0,0.006,-0.005,0,0
12/8/2021,-0.006,0.014,0.007,-0.002,0.007,0.002,0.009,0.001,-0.007,0.003
12/9/2021,0.009,0.006,0.003,0.009,0.006,0.01,0.005,0.013,0.002,0.007
12/10/2021,0.003,0.007,0.002,0.004,0.004,0,0,0.007,-0.006,0.002
12/13/2021,-0.008,0.009,0.003,-0.003,-0.011,-0.011,0.001,0,-0.018,-0.004
12/14/2021,0.003,0.003,0.001,0,-0.004,-0.005,0.001,0.004,-0.01,-0.001
12/15/2021,-0.003,0.009,-0.001,0.001,-0.001,0.011,-0.005,0.005,-0.004,0.001
12/16/2021,-0.013,0.003,-0.007,-0.014,-0.007,-0.005,-0.017,-0.005,-0.012,-0.008
12/17/2021,-0.015,-0.002,-0.003,-0.015,-0.022,-0.019,-0.008,-0.024,-0.028,-0.015
12/20/2021,0.012,0.004,0.001,0.01,0.011,0.006,0.005,0.019,0.005,0.008
12/21/2021,-0.002,0.003,-0.005,-0.001,0.003,0.005,-0.003,0.003,-0.01,-0.001
12/22/2021,0.013,0.009,0.012,-0.002,-0.006,0.001,-0.007,0.009,0.008,0.004
12/23/2021,-0.021,-0.004,-0.011,0.003,-0.022,-0.023,-0.02,-0.027,-0.031,-0.018
12/24/2021,0.007,0.003,0,0.007,0.021,0,0.009,0.013,-0.013,0.005
12/27/2021,0.01,-0.01,0.006,0.018,0.018,0.019,0.018,0.026,0.004,0.012
12/28/2021,0.02,0.004,0.008,0.005,0.019,0.017,0.019,0.006,0.038,0.015
12/29/2021,-0.001,0,0.002,-0.002,0,0.003,0.001,0.009,-0.01,0
12/30/2021,-0.004,-0.003,0.001,-0.004,-0.014,-0.007,-0.008,-0.009,-0.007,-0.006
12/31/2021,0.003,0.004,0.004,0.011,0,0.006,0.005,0.014,-0.005,0.005
1/3/2022,0.004,0.004,-0.004,0.008,0.005,0.004,0.006,-0.003,0.011,0.004
1/4/2022,0.001,0.001,0,0.01,0.005,0.009,0.001,0.011,0.013,0.006
1/5/2022,0,0.011,0.006,-0.002,-0.004,-0.006,-0.005,-0.003,-0.003,-0.001
1/6/2022,0.001,0.007,0.002,-0.002,0,-0.001,0.001,0.004,-0.005,0.001
1/7/2022,-0.009,0.008,-0.004,0,-0.002,-0.006,-0.004,-0.004,-0.008,-0.003
1/10/2022,0.007,-0.011,-0.001,0.004,0.003,0,0.005,0.012,0.013,0.004
1/11/2022,-0.002,0.004,0.001,0,0.002,-0.001,-0.006,-0.01,-0.001,-0.002
1/12/2022,-0.01,-0.002,0.002,-0.015,-0.005,-0.005,0.001,-0.022,-0.012,-0.008
1/13/2022,-0.032,-0.012,-0.023,-0.034,-0.028,-0.028,-0.032,-0.041,-0.046,-0.031
1/14/2022,-0.034,-0.021,-0.018,-0.027,-0.043,-0.041,-0.03,-0.032,-0.044,-0.032
1/17/2022,-0.007,-0.01,-0.006,-0.008,-0.003,-0.008,0,0.005,-0.03,-0.008
1/18/2022,-0.043,-0.045,-0.041,-0.04,-0.047,-0.037,-0.034,-0.054,-0.053,-0.044
1/19/2022,-0.027,-0.033,-0.02,-0.006,-0.011,-0.018,-0.013,0.008,-0.001,-0.014
1/20/2022,0.051,0.059,0.053,0.034,0.043,0.035,0.047,0.058,0.04,0.047
1/21/2022,-0.038,-0.012,-0.014,-0.024,-0.009,-0.024,-0.025,-0.038,-0.031,-0.024
1/24/2022,0.033,0.057,0.049,0.035,0.041,0.041,0.058,0.043,0.024,0.042
1/25/2022,-0.048,-0.015,-0.019,-0.037,-0.032,-0.049,-0.023,-0.032,-0.037,-0.032
1/26/2022,-0.034,-0.008,-0.008,-0.015,-0.026,-0.009,-0.005,-0.021,-0.056,-0.02
1/27/2022,-0.107,-0.054,-0.044,-0.063,-0.094,-0.092,-0.052,-0.076,-0.201,-0.087
1/28/2022,0.059,0.009,0.029,0.055,0.041,0.052,0.034,0.067,0.047,0.044
1/31/2022,-0.054,-0.05,-0.049,-0.055,-0.048,-0.059,-0.038,-0.047,-0.053,-0.05
2/1/2022,-0.108,-0.101,-0.094,-0.101,-0.096,-0.104,-0.075,-0.098,-0.125,-0.1
2/2/2022,0.132,0.054,0.085,0.062,0.07,0.078,0.069,0.117,0.092,0.084
2/3/2022,-0.137,-0.114,-0.068,-0.127,-0.11,-0.113,-0.099,-0.138,-0.136,-0.116
2/4/2022,0.054,0.128,0.084,0.039,0.062,0.046,0.063,0.068,0.007,0.061
2/7/2022,-0.085,-0.044,-0.026,-0.057,-0.064,-0.074,-0.033,-0.038,-0.144,-0.063
2/8/2022,0.022,-0.058,-0.033,0.035,0.026,0.001,-0.02,0.004,0.068,0.005
2/9/2022,-0.036,-0.079,-0.065,-0.03,-0.036,-0.05,-0.038,-0.046,0.01,-0.041
2/10/2022,-0.058,-0.051,-0.03,0.002,-0.051,-0.044,-0.052,-0.009,-0.068,-0.04
2/11/2022,0.124,0.108,0.051,0.094,0.118,0.127,0.077,0.102,0.16,0.107
2/14/2022,0.027,0.026,-0.003,0.018,0.023,0.053,0.013,-0.001,0.047,0.023
2/15/2022,0.063,0.085,0.055,0.041,0.047,0.063,0.066,0.062,0.061,0.06
2/16/2022,-0.03,0.005,-0.005,-0.034,-0.036,-0.042,-0.021,-0.045,-0.068,-0.031
2/17/2022,0.019,0.037,0.039,0.021,0.032,0.015,0.047,0.042,0.01,0.029
2/18/2022,-0.028,-0.04,-0.02,-0.02,-0.014,-0.012,-0.004,-0.019,0.015,-0.016
2/21/2022,-0.061,-0.06,-0.017,-0.045,-0.045,-0.045,-0.038,-0.048,-0.05,-0.045
2/22/2022,0.025,0.031,0.026,0.004,0.015,0.013,0.028,0.023,0.092,0.029
2/23/2022,-0.02,-0.036,0.008,-0.017,-0.024,-0.013,-0.009,-0.015,-0.011,-0.015
